,Reference area,TIME_PERIOD,OBS_VALUE
178,Austria,2012-Q3,5.5
179,Austria,2012-Q4,5.4
180,Austria,2013-Q1,5.833333
181,Austria,2013-Q2,5.433333
182,Austria,2013-Q3,5.7
183,Austria,2013-Q4,5.866667
184,Austria,2014-Q1,6.1
185,Austria,2014-Q2,5.866667
186,Austria,2014-Q3,6.066667
187,Austria,2014-Q4,6.1
188,Austria,2015-Q1,6.0
189,Austria,2015-Q2,6.266667
190,Austria,2015-Q3,6.066667
191,Austria,2015-Q4,6.3
192,Austria,2016-Q1,6.466667
193,Austria,2016-Q2,6.6
194,Austria,2016-Q3,6.633333
195,Austria,2016-Q4,6.2
196,Austria,2017-Q1,6.166667
197,Austria,2017-Q2,5.9
198,Austria,2017-Q3,5.866667
199,Austria,2017-Q4,5.833333
200,Austria,2018-Q1,5.433333
201,Austria,2018-Q2,5.0
202,Austria,2018-Q3,5.366667
203,Austria,2018-Q4,5.1
204,Austria,2019-Q1,5.066667
205,Austria,2019-Q2,4.866667
206,Austria,2019-Q3,4.8
207,Austria,2019-Q4,4.533333
208,Belgium,1994-Q1,9.666667
209,Belgium,1994-Q2,9.8
210,Belgium,1994-Q3,9.8
211,Belgium,1994-Q4,9.733334
212,Belgium,1995-Q1,9.666667
213,Belgium,1995-Q2,9.6
214,Belgium,1995-Q3,9.666667
215,Belgium,1995-Q4,9.8
216,Belgium,1996-Q1,9.866667
217,Belgium,1996-Q2,9.666667
218,Belgium,1996-Q3,9.433333
219,Belgium,1996-Q4,9.233334
220,Belgium,1997-Q1,9.1
221,Belgium,1997-Q2,9.133333
222,Belgium,1997-Q3,9.3
223,Belgium,1997-Q4,9.333333
224,Belgium,1998-Q1,9.433333
225,Belgium,1998-Q2,9.433333
226,Belgium,1998-Q3,9.366667
227,Belgium,1998-Q4,9.133333
228,Belgium,1999-Q1,8.966666
229,Belgium,1999-Q2,8.9
230,Belgium,1999-Q3,8.133333
231,Belgium,1999-Q4,7.7
232,Belgium,2000-Q1,7.1
233,Belgium,2000-Q2,6.8
234,Belgium,2000-Q3,6.9
235,Belgium,2000-Q4,6.633333
236,Belgium,2001-Q1,6.066667
237,Belgium,2001-Q2,6.5
238,Belgium,2001-Q3,6.3
239,Belgium,2001-Q4,7.4
240,Belgium,2002-Q1,7.333333
241,Belgium,2002-Q2,7.3
242,Belgium,2002-Q3,7.5
243,Belgium,2002-Q4,7.966667
244,Belgium,2003-Q1,8.1
245,Belgium,2003-Q2,8.1
246,Belgium,2003-Q3,8.133333
247,Belgium,2003-Q4,8.366667
248,Belgium,2004-Q1,8.533334
249,Belgium,2004-Q2,7.766667
250,Belgium,2004-Q3,8.866667
251,Belgium,2004-Q4,8.366667
252,Belgium,2005-Q1,8.466666
253,Belgium,2005-Q2,8.5
254,Belgium,2005-Q3,8.5
255,Belgium,2005-Q4,8.433333
256,Belgium,2006-Q1,8.566667
257,Belgium,2006-Q2,8.666667
258,Belgium,2006-Q3,7.9
259,Belgium,2006-Q4,7.933333
260,Belgium,2007-Q1,7.833333
261,Belgium,2007-Q2,8.0
262,Belgium,2007-Q3,7.066667
263,Belgium,2007-Q4,7.066667
264,Belgium,2008-Q1,6.9
265,Belgium,2008-Q2,6.633333
266,Belgium,2008-Q3,7.5
267,Belgium,2008-Q4,6.833333
268,Belgium,2009-Q1,7.866667
269,Belgium,2009-Q2,7.933333
270,Belgium,2009-Q3,8.0
271,Belgium,2009-Q4,8.166667
272,Belgium,2010-Q1,8.633333
273,Belgium,2010-Q2,8.466666
274,Belgium,2010-Q3,8.5
275,Belgium,2010-Q4,7.9
276,Belgium,2011-Q1,7.1
277,Belgium,2011-Q2,7.0
278,Belgium,2011-Q3,7.6
279,Belgium,2011-Q4,7.2
280,Belgium,2012-Q1,7.233333
281,Belgium,2012-Q2,7.366667
282,Belgium,2012-Q3,7.6
283,Belgium,2012-Q4,8.366667
284,Belgium,2013-Q1,8.5
285,Belgium,2013-Q2,8.533334
286,Belgium,2013-Q3,8.566667
287,Belgium,2013-Q4,8.633333
288,Belgium,2014-Q1,8.733334
289,Belgium,2014-Q2,8.533334
290,Belgium,2014-Q3,8.633333
291,Belgium,2014-Q4,8.7
292,Belgium,2015-Q1,8.833333
293,Belgium,2015-Q2,8.666667
294,Belgium,2015-Q3,8.266666
295,Belgium,2015-Q4,8.833333
296,Belgium,2016-Q1,8.266666
297,Belgium,2016-Q2,8.166667
298,Belgium,2016-Q3,7.7
299,Belgium,2016-Q4,7.233333
300,Belgium,2017-Q1,7.633333
301,Belgium,2017-Q2,7.266667
302,Belgium,2017-Q3,7.066667
303,Belgium,2017-Q4,6.433333
304,Belgium,2018-Q1,6.133333
305,Belgium,2018-Q2,6.333333
306,Belgium,2018-Q3,5.7
307,Belgium,2018-Q4,5.733333
308,Belgium,2019-Q1,5.6
309,Belgium,2019-Q2,5.566667
310,Belgium,2019-Q3,5.133333
311,Belgium,2019-Q4,5.2
312,Canada,1994-Q1,11.03333
313,Canada,1994-Q2,10.63333
314,Canada,1994-Q3,10.13333
315,Canada,1994-Q4,9.766666
316,Canada,1995-Q1,9.633333
317,Canada,1995-Q2,9.5
318,Canada,1995-Q3,9.433333
319,Canada,1995-Q4,9.3
320,Canada,1996-Q1,9.5
321,Canada,1996-Q2,9.433333
322,Canada,1996-Q3,9.666667
323,Canada,1996-Q4,9.833333
324,Canada,1997-Q1,9.433333
325,Canada,1997-Q2,9.3
326,Canada,1997-Q3,8.866667
327,Canada,1997-Q4,8.766666
328,Canada,1998-Q1,8.6
329,Canada,1998-Q2,8.333333
330,Canada,1998-Q3,8.2
331,Canada,1998-Q4,8.033334
332,Canada,1999-Q1,7.9
333,Canada,1999-Q2,7.9
334,Canada,1999-Q3,7.5
335,Canada,1999-Q4,6.966667
336,Canada,2000-Q1,6.866667
